Year,company,rating,date,rating_ffill,event,consecutive_nr_days,state,nr_flag,nr_reason,rating_numeric,base_risk,risk_score
2025-11,KoreanAir,A-,2025-11-01,A-,,0,A-,0,,7,0.14285714285714285,0.14285714285714285
2025-12,KoreanAir,A-,2025-12-01,A-,,0,A-,0,,7,0.14285714285714285,0.14285714285714285
2024-01,TwayAir,BB-,2024-01-01,BB-,,0,BB-,0,,13,0.07692307692307693,0.07692307692307693
2024-02,TwayAir,BB-,2024-02-01,BB-,,0,BB-,0,,13,0.07692307692307693,0.07692307692307693
2024-03,TwayAir,BB-,2024-03-01,BB-,,0,BB-,0,,13,0.07692307692307693,0.07692307692307693
2024-04,TwayAir,BB-,2024-04-01,BB-,,0,BB-,0,,13,0.07692307692307693,0.07692307692307693
2024-05,TwayAir,BB-,2024-05-01,BB-,,0,BB-,0,,13,0.07692307692307693,0.07692307692307693
2024-06,TwayAir,NR,2024-06-01,NR,,0,NR,0,,23,0.043478260869565216,0.043478260869565216
2024-07,TwayAir,NR,2024-07-01,NR,,0,NR,0,,23,0.043478260869565216,0.043478260869565216
2024-08,TwayAir,NR,2024-08-01,NR,,0,NR,0,,23,0.043478260869565216,0.043478260869565216
2024-09,TwayAir,NR,2024-09-01,NR,,0,NR,0,,23,0.043478260869565216,0.043478260869565216
2024-10,TwayAir,NR,2024-10-01,NR,,0,NR,0,,23,0.043478260869565216,0.043478260869565216
2024-11,TwayAir,NR,2024-11-01,NR,,0,NR,0,,23,0.043478260869565216,0.043478260869565216
2024-12,TwayAir,NR,2024-12-01,NR,,0,NR,0,,23,0.043478260869565216,0.043478260869565216
2025-01,TwayAir,BB-,2025-01-01,BB-,,0,BB-,0,,13,0.07692307692307693,0.07692307692307693
2025-02,TwayAir,BB-,2025-02-01,BB-,,0,BB-,0,,13,0.07692307692307693,0.07692307692307693
2025-03,TwayAir,BB-,2025-03-01,BB-,,0,BB-,0,,13,0.07692307692307693,0.07692307692307693
2025-04,TwayAir,BB-,2025-04-01,BB-,,0,BB-,0,,13,0.07692307692307693,0.07692307692307693
2025-05,TwayAir,BB-,2025-05-01,BB-,,0,BB-,0,,13,0.07692307692307693,0.07692307692307693
2025-06,TwayAir,BB-,2025-06-01,BB-,,0,BB-,0,,13,0.07692307692307693,0.07692307692307693
2025-07,TwayAir,BB-,2025-07-01,BB-,,0,BB-,0,,13,0.07692307692307693,0.07692307692307693
2025-08,TwayAir,BB-,2025-08-01,BB-,,0,BB-,0,,13,0.07692307692307693,0.07692307692307693
2025-09,TwayAir,BB-,2025-09-01,BB-,,0,BB-,0,,13,0.07692307692307693,0.07692307692307693
2025-10,TwayAir,BB-,2025-10-01,BB-,,0,BB-,0,,13,0.07692307692307693,0.07692307692307693
2025-11,TwayAir,BB-,2025-11-01,BB-,,0,BB-,0,,13,0.07692307692307693,0.07692307692307693
2025-12,TwayAir,BB-,2025-12-01,BB-,,0,BB-,0,,13,0.07692307692307693,0.07692307692307693
